average_reward_per_step
-60.890468919999996
-25.402878359999995
-19.345537719999996
-17.63428424
-18.1778102
-17.720866760000003
-17.51981884
-16.92681332
-16.67337448
-17.245388400000003
-17.21843136
-16.51424172
-16.710054200000002
-16.059130000000003
-16.4462124
-17.015433639999998
-16.350157880000005
-16.11557464
-16.603884480000005
-16.705401079999998
-17.489650319999996
-17.338255320000002
-16.3326058
-16.52154448
-16.977674160000007
-16.936171520000002
-16.315071759999995
-17.374380279999997
-16.350704920000002
-16.77842208
-16.71509524
-16.912117320000004
-17.135795440000003
-16.757716599999995
-16.810451920000006
-16.245513719999998
-15.448091840000004
-16.815079160000003
-16.4603376
-17.133564279999998
